Ticker,CompanyName,SEC_Filings,Sector,SubIndustry,HeadquartersAddress,DateAdded,CIK
MCO,Moody's Corp,reports,Financials,Diversified Financial Services,"New York, New York",,1059556
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,101778
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",,1090872
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",2007-07-12,1086222
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981-03-31,8670
UAA,Under Armour,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-03-25,1336917
LLTC,Linear Technology Corp.,reports,Information Technology,Semiconductors,"Milpitas, California",,791907
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",2016-07-01,1659166
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,"Mountain View, California",2014-04-03,1652044
FCX,Freeport-McMoran Cp & Gld,reports,Materials,Copper,"Phoenix, Arizona",,831259
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,29905
CNP,CenterPoint Energy,reports,Utilities,MultiUtilities,"Houston, Texas",1985-07-31,1130310
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",,1156039
KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051
PCG,PG&E Corp.,reports,Utilities,MultiUtilities,"San Francisco, California",,1004980
SWK,Stanley Black & Decker,reports,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",1982-09-30,93556
SPGI,"S&P Global, Inc.",reports,Financials,Diversified Financial Services,"New York, New York",,64040
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,4127
UTX,United Technologies,reports,Industrials,Industrial Conglomerates,"Hartford, Connecticut",,101829
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",,69499
ES,Eversource Energy,reports,Utilities,MultiUtilities,"Springfield, Massachusetts",,72741
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,64670
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",2016-07-01,915913
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,707549
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800
EQR,Equity Residential,reports,Real Estate,REITs,"Chicago, Illinois",,906107
FMC,FMC Corporation,reports,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",2009-08-19,37785
CCI,Crown Castle International Corp.,reports,Real Estate,REITs,"Houston, Texas",2012-03-14,1051470
UDR,UDR Inc,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208
XEL,Xcel Energy Inc,reports,Utilities,MultiUtilities,"Minneapolis, Minnesota",,72903
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,1170010
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Facilities,"Burlington, North Carolina",,920148
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",1976-06-30,24545
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",,886982
FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2009-06-05,1135152
WFC,Wells Fargo,reports,Financials,Banks,"San Francisco, California",1976-06-30,72971
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,898173
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,1364742
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",,866787
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",,820027
SPLS,Staples Inc.,reports,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",,791519
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1021860
IRM,Iron Mountain Incorporated,reports,Real Estate,REITs,"Boston, Massachusetts",2009-01-06,1020569
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696
EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2008-12-19,33213
IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,"New York, New York",1992-10-01,51644
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",,6951
MON,Monsanto Co.,reports,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",2002-08-07,1110783
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,"Union, New Jersey",,886158
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343
JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment,"New Brunswick, New Jersey",1973-06-30,200406
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",,316709
FFIV,F5 Networks,reports,Information Technology,Networking Equipment,"Seattle, Washington",2010-12-20,1048695
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28,865752
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076
JNPR,Juniper Networks,reports,Information Technology,Networking Equipment,"Sunnyvale, California",,1043604
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",,1045810
STX,Seagate Technology,reports,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",2012-07-02,1137789
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",,1156375
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,"Plano, Texas",2008-10-07,1418135
AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507
CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",,18926
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476
WM,Waste Management Inc.,reports,Industrials,Environmental Services,"Houston, Texas",,823768
TWX,Time Warner Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1105705
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",1970-06-30,63908
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015-03-20,1359841
WY,Weyerhaeuser Corp.,reports,Real Estate,REITs,"Federal Way, Washington",,106535
ICE,Intercontinental Exchange,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",2007-09-26,1571949
XRX,Xerox Corp.,reports,Information Technology,IT Consulting & Other Services,"Norwalk, Connecticut",,108772
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",,1090012
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",2015-07-09,1158449
HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,"Melbourne, Florida",2008-09-22,202058
EXC,Exelon Corp.,reports,Utilities,MultiUtilities,"Chicago, Illinois",,1109357
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",,1396009
CMS,CMS Energy,reports,Utilities,MultiUtilities,"Jackson, Michigan",,811156
REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",2015-04-07,726728
AEE,Ameren Corp,reports,Utilities,MultiUtilities,"St. Louis, Missouri",1991-09-19,1002910
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
WRK,WestRock Company,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,936468
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",2013-07-09,1492633
EXPE,Expedia Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",2007-10-02,1324424
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,908255
BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",,702165
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,"San Jose, California",1993-12-01,858877
NEE,NextEra Energy,reports,Utilities,MultiUtilities,"Juno Beach, Florida",1976-06-30,753308
SRCL,Stericycle Inc,reports,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",2008-11-19,861878
BXP,Boston Properties,reports,Real Estate,REITs,"Boston, Massachusetts",,1037540
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887
NTAP,NetApp,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",,1002047
RF,Regions Financial Corp.,reports,Financials,Diversified Financial Services,"Birmingham, Alabama",,1281761
PX,Praxair Inc.,reports,Materials,Industrial Gases,"Danbury, Connecticut",1992-07-01,884905
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",2007-12-21,315852
FSLR,First Solar Inc,reports,Information Technology,Semiconductors,"Tempe, Arizona",2009-10-16,1274494
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",,4977
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,"Raleigh, North Carolina",2009-07-27,1087423
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,935703
PWR,Quanta Services Inc.,reports,Industrials,Industrial Conglomerates,"Houston, Texas",2009-07-01,1050915
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",,721371
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",1981-06-30,62996
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,354190
SPG,Simon Property Group Inc,reports,Real Estate,REITs,"Indianapolis, Indiana",,1063761
PFG,Principal Financial Group,reports,Financials,Diversified Financial Services,"Des Moines, Iowa",,1126328
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,"New York, New York",,29989
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421
UA,Under Armour,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,1336917
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,"Penfield, New York",,723531
LVLT,Level 3 Communications,reports,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",2014-11-05,794323
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,1038357
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-02-15,78239
AYI,Acuity Brands Inc,reports,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",2016-05-03,1144215
AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,"New York, New York",,1001250
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,40704
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",2008-03-31,1413329
CVS,CVS Health,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,64803
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2007-02-02,1037038
VIAB,Viacom Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1339947
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950
XYL,Xylem Inc.,reports,Industrials,Industrial Conglomerates,"White Plains, New York",2011-11-01,1524472
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,"San Francisco, California",2008-09-15,1108524
DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",,315189
WU,Western Union Co,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984
CHTR,Charter Communications,reports,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667
DISCK,Discovery Communications-C,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",2014-08-07,1437107
CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",1983-08-31,23217
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,49826
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080
SWN,Southwestern Energy,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas[6]",2008-06-06,7332
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,9389
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",2009-09-15,815556
ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01,769397
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724
ULTA,Ulta Salon Cosmetics & Fragrance Inc,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1403568
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,29534
DISCA,Discovery Communications-A,reports,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",2010-03-01,1437107
WMT,Wal-Mart Stores,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169
BK,The Bank of New York Mellon Corp.,reports,Financials,Banks,"New York, New York",,1390777
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Voorhees, New Jersey",2016-03-04,1410636
NI,NiSource Inc.,reports,Utilities,MultiUtilities,"Merrillville, Indiana",,1111711
DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",2012-12-24,1521332
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21,1555280
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",,882095
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",2015-03-20,1040971
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,1110803
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
GPN,Global Payments Inc,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,1123360
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741
HRB,Block H&R,reports,Financials,Consumer Finance,"Kansas City, Missouri",1986-11-30,12659
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2010-12-20,912750
JEC,Jacobs Engineering Group,reports,Industrials,Industrial Conglomerates,"Pasadena, California",2007-10-26,52988
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",,350698
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,14272
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
AIV,Apartment Investment & Mgmt,reports,Real Estate,REITs,"Denver, Colorado",,922864
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",2007-02-12,203527
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187
PRU,Prudential Financial,reports,Financials,Diversified Financial Services,"Newark, New Jersey",,1137774
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",,78003
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",,6281
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054
MNK,Mallinckrodt Plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",2014-08-19,1567892
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",,55785
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,"New York, New York",2007-04-10,1267238
TSS,Total System Services,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",2008-01-02,721683
AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,"Dublin, Ireland",,884629
DHR,Danaher Corp.,reports,Industrials,Industrial Conglomerates,"Washington, D.C.",,313616
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465
MTB,M&T Bank Corp.,reports,Financials,Banks,"Buffalo, New York",,36270
NDAQ,NASDAQ OMX Group,reports,Financials,Diversified Financial Services,"New York, New York",2008-10-22,1120193
PNC,PNC Financial Services,reports,Financials,Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676
NWS,News Corp. Class B,reports,Consumer Discretionary,Publishing,"New York, New York",2015-09-18,1564708
SCG,SCANA Corp,reports,Utilities,MultiUtilities,"Cayce, South Carolina",2009-01-02,754737
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",2014-07-01,1004434
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",2013-12-02,1579241
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1441634
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",2009-01-02,354908
V,Visa Inc.,reports,Information Technology,Internet Software & Services,"San Francisco, California",2009-12-21,1403161
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,773910
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,804328
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",1987-08-31,62709
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",,86312
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2008-11-14,1174922
ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,"New York, New York",1964-03-31,4281
SE,Spectra Energy Corp.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",,1373835
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Materials,"Lake Forest, Illinois",1981-06-30,277135
INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,"Mountain View, California",2000-12-05,896878
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",2011-04-28,1058090
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",2016-03-30,1071739
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",1976-06-30,4962
WYN,Wyndham Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658
HCA,HCA Holdings,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165
MAC,Macerich,reports,Real Estate,Retail REITs,"Santa Monica, California",2013-05-09,912242
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",,315293
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",,1136893
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",,100885
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",2008-10-02,30625
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224
DNB,Dun & Bradstreet,reports,Industrials,Research & Consulting Services,"Short Hills, New Jersey",2008-12-02,1115222
RSG,Republic Services Inc,reports,Industrials,Industrial Conglomerates,"Phoenix, Arizona",2008-12-05,1060391
SO,Southern Co.,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",,877890
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160
LYB,LyondellBasell,reports,Materials,Diversified Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393
KEY,KeyCorp,reports,Financials,Banks,"Cleveland, Ohio",1994-03-01,91576
FITB,Fifth Third Bancorp,reports,Financials,Banks,"Cincinnati, Ohio",,35527
MJN,Mead Johnson,reports,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",2009-12-21,1452575
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",1986-08-31,72333
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701
DIS,The Walt Disney Company,reports,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",1976-06-30,1001039
